性別,年齡,悲傷- 患者反應1,悲傷- 患者反應2,悲傷- 患者反應3,悲傷- 這是由特別事件引起的嗎？,悲傷- 這是由最近或遙遠的事件（或多個事件）引起的嗎？,悲傷- 您最近是否嘗試過協議6，並發現由於舊事件而重新點燃了無法控制的情緒？,悲傷- 您最近是否嘗試過協議11，並發現由於舊事件而重新點燃了無法控制的情緒？,悲傷- 謝謝。現在我會問一些問題以了解您的情況。,悲傷- 您是否對某人有強烈的感受或表達以下任何情緒：,悲傷- 您認為您應該成為別人的救星嗎？,悲傷- 您是否將自己視為受害者，將自己的負面情緒歸咎於他人？,悲傷- 您覺得您在試圖控制某人嗎？,悲傷- 當出現問題時，您是否總是責怪和指責自己？,悲傷- 在之前的對話中，您是否考慮過其他提出的觀點？,悲傷- 您是否正在經歷個人危機（與親人相處有困難，例如與朋友鬧翻）？,憤怒- 患者反應1,憤怒- 患者反應2,憤怒- 患者反應3,憤怒- 這是由特別事件引起的嗎？,憤怒- 這是由最近或遙遠的事件（或多個事件）引起的嗎？,憤怒- 您最近是否嘗試過協議6，並發現由於舊事件而重新點燃了無法控制的情緒？,憤怒- 您最近是否嘗試過協議11，並發現由於舊事件而重新點燃了無法控制的情緒？,憤怒- 謝謝。現在我會問一些問題以了解您的情況。,憤怒- 您是否對某人有強烈的感受或表達以下任何情緒：,憤怒- 您認為您應該成為別人的救星嗎？,憤怒- 您是否將自己視為受害者，將自己的負面情緒歸咎於他人？,憤怒- 您覺得您在試圖控制某人嗎？,憤怒- 當出現問題時，您是否總是責怪和指責自己？,憤怒- 在之前的對話中，您是否考慮過其他提出的觀點？,憤怒- 您是否正在經歷個人危機（與親人相處有困難，例如與朋友鬧翻）？,焦慮- 患者反應1,焦慮- 患者反應2,焦慮- 患者反應3,焦慮- 這是由特別事件引起的嗎？,焦慮- 這是由最近或遙遠的事件（或多個事件）引起的嗎？,焦慮- 您最近是否嘗試過協議6，並發現由於舊事件而重新點燃了無法控制的情緒？,焦慮- 您最近是否嘗試過協議11，並發現由於舊事件而重新點燃了無法控制的情緒？,焦慮- 謝謝。現在我會問一些問題以了解您的情況。,焦慮- 您是否對某人有強烈的感受或表達以下任何情緒：,焦慮- 您認為您應該成為別人的救星嗎？,焦慮- 您是否將自己視為受害者，將自己的負面情緒歸咎於他人？,焦慮- 您覺得您在試圖控制某人嗎？,焦慮- 當出現問題時，您是否總是責怪和指責自己？,焦慮- 在之前的對話中，您是否考慮過其他提出的觀點？,焦慮- 您是否正在經歷個人危機（與親人相處有困難，例如與朋友鬧翻）？,快樂- 患者反應1,快樂- 患者反應2,快樂- 患者反應3,快樂- 那很好！讓我推荐一個您可以嘗試的協議。,所有情緒- 根據您所說的，我相信您正在感受{}。這個對嗎？,所有情緒- 我很抱歉。請從下面的情緒中選擇最能反映您感受的情緒：,所有情緒- 感謝您的參與。再見,所有情緒- 這是我的建議，請選擇您想嘗試的協議,所有情緒- 請現在嘗試通過此協議。完成後，按“繼續”,所有情緒- 採取此協議後，您感覺更好還是更糟？,所有情緒- 您想嘗試另一種協議嗎？ （病人感覺好多了）,所有情緒- 您想嘗試另一種協議嗎？ （病人感覺更糟）
女性,18-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我感覺不太好，我很焦慮,我今天其實很著急,焦慮的,很抱歉你感覺不太好。有發生過什麼事情讓你有這種感覺嗎？,這是多久以前發生的，是最近發生的還是遙遠的？,協議6 有時會對人們產生相當負面的影響。您是否嘗試過協議6，它是否對您產生了負面影響？,協議11 有時會對人們產生相當負面的影響。您是否嘗試過協議11，它是否對您產生了負面影響？,非常感謝你告訴我。如果你不介意，我會問你幾個問題，這樣我才能更好地了解發生了什麼。,我現在要問你一些其他的負面情緒。你能告訴我你最近是否對某人有過以下情緒：,,,,,,,我感覺很棒謝謝！,很好，謝謝,我感覺很棒！,,,,,這些是我的建議。請告訴我您想嘗試哪種協議。,真棒！現在請您嘗試完成此協議並在完成後按“繼續”。,該協議是否讓您感覺更好或更糟？,那好極了！嘗試另一種協議會讓你感覺更好嗎？,我很抱歉聽到這個。您想嘗試另一種協議嗎？
男性,40-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,由於疫情，我感到焦慮,我感到害怕，我不知道為什麼,我實際上已經被情緒的動盪和極度的恐懼所淹沒,你有什麼事嗎？,我很抱歉聽到它。這是什麼時候發生的，最近還是前一段時間？,我知道這很難，所以感謝您與我分享。如果你嘗試過協議6，是否會重新點燃你這種不好的感覺？,我知道這很難，所以感謝您與我分享。如果您嘗試過協議11，是否會重新點燃您的這種不好的感覺？,我是來找你的，謝謝你與我分享。你介意我再問你幾個問題嗎？,你是否對別人有以下感覺：,,,,,,,我覺得很棒！,我感覺很棒！,我今天感到溫暖和模糊。,,,,,這是我想推薦的一些協議。隨意選擇您想嘗試的協議。,請現在就試一試。完成後，只需點擊“繼續”即可。,你現在感覺如何？我希望它有幫助。,好的！你也想嘗試不同的嗎？,很抱歉它對你不起作用。我們試試不同的怎麼樣？
女性,40-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我今天感到非常焦慮。,我今天感到非常害怕。,今天，我既焦慮又害怕。,這是因為發生了什麼事情嗎？,這是什麼時候發生的，是最近還是前一段時間？,您是否嘗試過協議6 並且感覺過於強烈？,您是否嘗試過協議11 並且感覺過於強烈？,謝謝你。我現在想問一些問題，以便我了解您的情況。,您是否對某人有強烈的以下任何一種情緒：,,,,,,,我今天真的很開心。,今天，我真的很滿足。,今天，我感到快樂和滿足。,,,,,我可以推荐一些可能有幫助的協議。隨意從這些協議中選擇您喜歡的協議。,您現在可以試試這個協議，當您準備好繼續時，您可以選擇“繼續”。,該協議是否幫助您感覺更好，或者您感覺更糟？,我真的很高興你感覺好多了。也許您準備好嘗試另一種協議？,我很抱歉。如果您想嘗試另一個協議，可能有更好的協議嗎？
男性,25-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我想如果我們談談是什麼讓你有這種感覺可能會有所幫助。是不是某個特定的事件讓您感到苦惱？,好的，謝謝，我很高興你能很自在地談論這個。這個事件是最近還是前一段時間引起了你的焦慮？,處理過去的創傷真的很艱難，我很欣賞你的勇氣。請問您是否嘗試過協議6，但發現它太難了？,處理過去的創傷真的很艱難，我很欣賞你的勇氣。請問您是否嘗試過協議11，但發現它太難了？,我真的很感激你對我敞開心扉。如果你不介意的話，我還有一些問題。,每個人一整天都會處理很多情緒，並不是所有的情緒都是積極的。我想問你，你最近有沒有特別感受到以下任何一種情緒：,,,,,,,我感覺很好，謝謝你。,如果我嘗試過，感覺不會更好,我今天感覺很棒,,,,,我對一些協議有一些想法，我認為它們會真正使您受益。你想嘗試哪一個？,我認為你選擇了一個很好的，請盡力而為。完成後只需點擊“繼續”，我們就可以從上次停下的地方繼續。,現在，這樣做後立即感覺好轉或惡化是完全正常的。你說完成協議後的感受如何？,那太棒了。如果您有興趣，我還有一些協議也應該有所幫助？,這是完全正常的，儘管我當然希望這對您來說是一種更積極的體驗。我們再試一次怎麼樣？
男性,18-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,是什麼讓你有這樣的感覺，如果你不介意告訴我，這是一個特定的事件嗎？,這是最近發生的，還是遙遠過去的記憶？,您是否嘗試過協議6 並發現它沒有一個好的結果？,您是否嘗試過協議11 並發現它沒有很好的結果？,謝謝。如果你允許的話，我現在想再問你一些問題。,您是否對一個或多個人有以下任何感受：,,,,,,,我真的感覺不錯,好的。你呢？,我今天感覺很棒,,,,,這裡有一些我認為可能對您有所幫助的協議建議。選擇您認為最好的協議,請嘗試在您自己的時間完成協議。完成後，請返回並點擊“繼續”，以便我們評估進展情況。,遵循協議後，您現在感覺好些了嗎？,好的。你想再做一個嗎？,啊，那不好，也許換個選擇會更好。你想再做一個嗎？
女性,50-59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我今天真的很焦慮，我不知道為什麼,我今天壓力很大，我在等一些測試結果,我對面試感到緊張,我看得出你很著急，我願意幫忙。是不是有什麼特別的東西導致了這種感覺？,我很抱歉聽到這個，我希望你不介意進一步詳細說明。這是最近發生的，還是在更遠的過去發生的？,我知道協議6 通常會觸發對過去的創傷事件重新產生焦慮感，所以在我推薦它之前，我想知道這是否發生在你身上。協議6 是您最近嘗試過的並且讓您感到焦慮的東西嗎？,我知道協議11 通常會觸發對過去的創傷事件重新產生焦慮感，所以在我推薦它之前，我想知道這是否發生在你身上。協議11 是您最近嘗試過的並且讓您感到焦慮的東西嗎？,感謝您信任我並與我分享您的感受。我可以問你一些問題嗎？我想更好地了解以幫助您。,有時我們會向他人反映嫉妒、貪婪、嫉妒、仇恨或惡意的感覺，過去的不信任會導致報復的想法，但請放心，所有這些情緒都是完全正常的。你認為你可能會感受到以下任何一種情緒：,,,,,,,謝謝你的提問，我今天真的很開心,我感覺很好謝謝你，非常滿意,我今天很開心，一切都很順利,,,,,我想如果我們能找到這些感覺的根源，我們會讓你感覺好很多。您認為您想嘗試以下任何協議嗎？看一看，讓我知道您是否想嘗試一些東西。,太好了，我很高興您願意嘗試一下，希望您會發現它很有幫助。請在準備好後仔細閱讀協議，如果完成後可以按“繼續”，那就太好了。,感謝您花時間完成協議。它讓你感覺如何——更好或更糟？,我很高興您發現這有幫助，並且您這樣做後感覺好一些。你認為你也會從另一個協議中受益嗎？,很抱歉這個練習讓你感覺更糟，有時不同的方法對不同的人更有效。您是否願意嘗試其他協議？
男性,30-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,有點害怕，昨天做了件丟人的事,我很緊張，我有點失去理智了。,我沒事，就是有點著急。我只想讓這一天結束。,有沒有發生過讓你有這種感覺的事情？,這是最近發生的還是很久以前發生的？,你有沒有嘗試過協議6，當你回憶過去的事情時，它有沒有讓你有任何不好的感覺？,您是否嘗試過協議11，並且在回憶過去的事情時是否讓您有任何不好的感覺？,非常感謝你。我現在想再問你一些問題，以幫助我了解你正在經歷的事情。,你對別人有沒有經歷過這些情緒：,,,,,,,真的很好，睡了一個好覺。,今天心情很好，期待下午。,挺不錯的朋友，一切都如意。,,,,,我有一些您可以嘗試的協議的建議。請選擇一項立即查看：,在你自己的時間，看看這個協議並嘗試完成它。完成後，您可以按“繼續”。,我想問您對協議的看法，以及它是否對您有幫助。你感覺好些了，還是真的讓你感覺更糟了？,你認為你想嘗試另一種協議嗎？,你覺得你想看看另一個協議嗎？
女性,40-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我今天過得很糟糕我很擔心我的考試,我怕我不記得我學過的任何東西,我對考試很緊張,很抱歉你現在正在經歷這個。是否有任何特定事件導致了這種情況？我希望我能做些什麼來幫忙。,我知道這對你來說可能很難談論。我想問一下，是最近發生的事情還是前一段時間發生的事情？,有時，當我們通過某些協議並發現，正如我們所做的那樣，這些協議可以揭示負面情緒和體驗。你有沒有嘗試過協議6 但發現它太令人痛苦了？,有時，當我們通過某些協議並發現，正如我們所做的那樣，這些協議可以揭示負面情緒和體驗。你有沒有嘗試過協議11 但發現它太令人痛苦了？,感謝您分享這些感受，我理解這對您來說可能是一個艱難的過程。如果你沒問題，我想再問你一些問題，以幫助我更好地了解你的情況。,你說你有焦慮的感覺，不知道你是否還記得你是否對另一個人有過其他強烈的情緒。您是否認為以下任何一項可能適用於您最近的感受：,,,,,,,我很好,很好，謝謝，你呢？,今天心情好,,,,,我相信這些協議可能對您有益。看一看它們，然後告訴我您想嘗試哪一個。,仔細閱讀協議，請慢慢來，按照自己的節奏進行，不要著急。完成後，按“繼續”。,接受此協議後，您感覺如何，您認為它對您有幫助嗎？,我很高興協議對您有所幫助。您想嘗試其他協議嗎？,你認為通過另一個協議會有所幫助嗎？
女性,30-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我今天感覺不太好。我的腦子在飛速運轉，我無法停止對所有事情的過度思考。,天哪，我今天不知為何感到很害怕。,我感覺有點像壞事要發生一樣，我無法停止思考,很抱歉聽到您有這種感覺，儘管有這種感覺也沒關係，您並不孤單。今天有什麼特別的事情讓你有這種感覺嗎？,我明白了，我想知道更多關於發生的事情。這是最近發生的還是不久前發生的事情？,協議6 確實可以喚起回憶，這取決於情況的好壞。您是否嘗試過協議6，它是否對您產生了負面影響？,協議11 確實可以帶回記憶，這取決於情況，可能是好是壞。您是否嘗試過協議11，它是否對您產生了負面影響？,到目前為止，您一直很棒，您的感受絕對有效，我知道重新審視或解決焦慮或過去的事件可能非常困難。可以問一些問題以了解您的情況嗎？,有時，我們會被負面情緒淹沒。你對某人有過這些情緒的經歷：,,,,,,,我感覺很厲害這是美好的一天。你好嗎？,很好，最近生活進展順利，我感到很平靜,我現在感覺很好。,,,,,根據你告訴我的，我選擇了一些可能對你有幫助的協議。您現在想嘗試一個協議嗎？如果是，請選擇它。,太好了，那我們繼續吧。盡最大努力完成後，請返回並按“繼續”。,做完這些後你感覺如何，你感覺好些了還是更糟了？,這真是個好消息。我們試試另一個，看看我們怎麼樣？,沒關係，並不是每個人在第一個之後都感覺更好。我們試試另一個，看看我們如何處理那個？
男性,40-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我擔心我的孩子在學校,我擔心我目前的工作狀況,我一點都不正常，我的頭在旋轉，我感到有壓力,我很遺憾聽到你今天感覺不太好。是不是有什麼特別的事情讓你有這種感覺？,請幫助我進一步了解。這是最近發生的事件還是遙遠的過去？,您是否已經嘗試過協議6，但發現它不但沒有緩解您的焦慮，反而使情況變得更糟？,您是否已經嘗試過協議11，但發現它不但沒有緩解您的焦慮，反而使情況變得更糟？,很高興你分享了你的感受。我們可以進一步談談以幫助我了解我如何在您的情況下為您提供支持嗎？,很高興您已經認識到您目前的感受，讓我們看看我們是否可以識別其他一直困擾著您的負面情緒。您最近是否對任何人感到或表達過以下任何一種情況：,,,,,,,我不能更快樂,我覺得我今天已經實現了我想要的一切,我希望我每天都有這樣的感覺,,,,,以下是我對哪些協議最適合您的想法。請選擇您想嘗試的協議：,我希望你現在開始協議。然後當你完成時，只需按“繼續”。,完成協議後，您現在感覺如何？,那太棒了。您想嘗試附加協議嗎？,我很遺憾聽到你有這種感覺。您想嘗試其他協議嗎？
男性,50-59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我真的很著急，我的肚子在打結，我怕我的駕駛考試不及格。,不好，我害怕去看醫生，我覺得事情很嚴重。,我今天壓力很大，感覺隧道盡頭沒有光，我拖欠了抵押貸款。,哦，很遺憾聽到你感到焦慮。這種感覺是由你無法控制的事情引起的嗎？,這種感覺的原因是發生在你年輕的時候還是最近？,這些情緒是不是因為你偶然嘗試了協議6 而重新點燃了？,這些情緒是不是因為你偶然嘗試了協議11 而重新點燃了？,謝謝你。為了更清楚地了解你的情況，我想再問你一些問題。,您是否曾在任何時候對某人表達或感受到以下任何情緒：,,,,,,,我很高興馬贏了,完成了本週的工作，我感到很滿足，現在可以放鬆了,今天是個好日子我很健康,,,,,我有一些協議可以幫助你。您想選擇一款來嘗試嗎？,既然您已經選擇了您想嘗試的方法，請徹底檢查一遍。準備好後選擇“繼續”。,現在你已經嘗試了這個協議並走到了盡頭，你對你的情況感覺更好還是更糟？,您想嘗試另一種協議嗎？,也許我們需要更深入地了解您的情況。如果您願意，我們可以通過其他一些協議來工作。
男性,40-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我擔心會有不好的事情發生,我害怕回家,我覺得我可能得了重病但不想看醫生,我意識到您對某事感到焦慮並希望提供幫助。你認為是不是有什麼具體的、已經發生的事情導致了這種感覺？,好的，大聲說出來是好的第一步。你能想出讓你有這種感覺的事件是最近發生的還是過去發生的？,很好，我相信你對協議6 很熟悉。你最近有沒有嘗試過協議6，如果有，當你想到這些過去的事件時，你是否覺得這帶來了一些難以處理的感覺?,很好，我相信你對協議11 很熟悉。你最近有沒有嘗試過協議11，如果你嘗試過，當你想到這些過去的事件時，你是否覺得這帶來了一些難以處理的感覺?,感謝您回答這些問題，我知道這對您來說可能很困難。我現在想繼續問你一些問題，以便更好地了解你此刻的感受。,我認為有時焦慮可能會帶來其他強烈的情緒。你能告訴我你是否對某人有過或表達過以下任何情緒：,,,,,,,我感覺很好，目前一切都挺好,我感覺很好，我在一段時間內第一次有一種很好的感覺,對目前的情況真的很滿意,,,,,我這裡有一些協議希望您查看，我認為它們可能對您有所幫助。您能否通讀一遍並告訴我您認為哪一種對您最有益，並且您想嘗試一下。,請通讀協議信息，當您覺得自己理解並準備開始時，請嘗試通過它。完成後，請按“繼續”。,沒關係。既然你已經完成了協議，你能說你比開始之前感覺好還是壞？,非常好。如您所知，列表中還有更多協議，您是否認為您可能想嘗試其他協議，看看情況如何？,這有時會發生，但這裡有更多協議可能對您更有效。你想嘗試另一個，看看它是否有幫助？
